2017-07-19 11:39:50 | 8462 | /index.php | query | d0715ea21c844dcabfba1321b8ce5e3e6f645ef0 | 1.053551 | 1.053604 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:39:50 | 8462 | /index.php | query | d0715ea21c844dcabfba1321b8ce5e3e6f645ef0 | 0.011751 | 0.011778 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:39:50 | 8462 | /index.php | query | d0715ea21c844dcabfba1321b8ce5e3e6f645ef0 | 0.011557 | 0.011584 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:53:23 | 8463 | /index.php | query | ac5853bf771eba19b5505c148ac995997ba97259 | 0.010835 | 0.010861 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:53:23 | 8463 | /index.php | query | ac5853bf771eba19b5505c148ac995997ba97259 | 0.012101 | 0.012136 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:53:24 | 8463 | /index.php | query | ac5853bf771eba19b5505c148ac995997ba97259 | 0.012662 | 0.012687 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:05:48 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.011433 | 0.011461 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:05:48 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.010385 | 0.010413 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:05:48 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.011257 | 0.011302 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 15:05:49 | 8462 | /index.php | query | f4de156b6b480ccd5f77aec1abec1f63e8404087 | 0.010671 | 0.010704 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
